title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Suzuki Alto L Upgrade 2022,3600000,Karachi,2022,7800,Petrol,Automatic,Un-Registered,White,Imported,660,04/05/2024,Medium,Low,Saturday,2
Nissan Leaf SL Plus 2021,8100000,Lahore,2021,18000,Not Available,Automatic,Un-Registered,Silver,Imported,1300,04/05/2024,High,Low,Saturday,3
Toyota Fortuner GR-S 2023,21300000,Lahore,2023,10000,Diesel,Automatic,Islamabad,White,Local,2800,04/05/2024,High,Low,Saturday,1
Suzuki Alto VXR 2021,2325000,Karachi,2021,21000,Petrol,Not Available,Sindh,Solid White,Local,660,04/05/2024,Medium,Low,Saturday,3
Honda City 1.3 i-VTEC Prosmatec 2020,4050000,Lahore,2020,42754,Petrol,Automatic,Lahore,Lunar Silver Metallic,Local,1300,04/05/2024,High,Low,Saturday,4
Suzuki Alto VXL AGS 2020,2700000,Karachi,2020,52000,Petrol,Automatic,Karachi,Silky Silver,Local,660,04/05/2024,Medium,Medium,Saturday,4
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6800000,Toba tek singh,2022,44000,Petrol,Automatic,Islamabad,Super White,Local,1800,04/05/2024,High,Low,Saturday,2
Suzuki Alto VXR 2022,2430000,Karachi,2022,41000,Petrol,Not Available,Sindh,Silky Silver,Local,660,04/05/2024,Medium,Low,Saturday,2
Honda HR-V VTi-S 2022,6680000,Karachi,2022,54000,Petrol,Automatic,Karachi,Teffeta White,Local,1500,04/05/2024,High,Medium,Saturday,2
Toyota Corolla Altis Automatic 1.6 2020,5350000,Faisalabad,2020,17000,Petrol,Automatic,Islamabad,Super White,Local,1600,04/05/2024,High,Low,Saturday,4
Hyundai Tucson AWD A/T Ultimate 2020,7380000,Mirpur ak,2020,32000,Petrol,Automatic,Islamabad,Polar White,Local,2000,04/05/2024,High,Low,Saturday,4
Toyota Yaris Hatchback 2021,4410000,Karachi,2021,78000,Petrol,Automatic,Un-Registered,White,Imported,1000,04/05/2024,High,Medium,Saturday,3
Toyota Yaris Hatchback 2021,4325000,Karachi,2021,89000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,04/05/2024,High,Medium,Saturday,3
Toyota Corolla Altis X Automatic 1.6 2021,5150000,Karachi,2021,40000,Petrol,Automatic,Sindh,White,Local,1600,04/05/2024,High,Low,Saturday,3
Suzuki Swift GL CVT 2022,4150000,Karachi,2022,25000,Petrol,Automatic,Sindh,Solid White,Local,1240,04/05/2024,High,Low,Saturday,2
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,6850000,Karachi,2022,41000,Petrol,Automatic,Sindh,Attitude Black,Local,1800,03/05/2024,High,Low,Friday,2
Honda HR-V VTi-S 2022,7225000,Islamabad,2022,12500,Petrol,Automatic,Islamabad,Grey,Local,1500,04/05/2024,High,Low,Saturday,2
Honda Civic 1.8 i-VTEC CVT 2021,6600000,Islamabad,2021,27000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,04/05/2024,High,Low,Saturday,3
Suzuki Alto VXR 2022,2465000,Karachi,2022,21300,Petrol,Not Available,Sindh,White,Local,660,03/05/2024,Medium,Low,Friday,2
Porsche Taycan 2022,36900000,Lahore,2022,9000,Not Available,Automatic,Un-Registered,Black,Imported,1300,03/05/2024,High,Low,Friday,2
KIA Picanto 1.0 MT 2020,2500000,Lahore,2020,93000,Petrol,Not Available,Islamabad,Beige,Local,1000,03/05/2024,Medium,Medium,Friday,4
Honda Civic 1.5 RS Turbo 2021,7550000,Islamabad,2021,14800,Petrol,Automatic,Karachi,Crystal Black Pearl,Local,1500,03/05/2024,High,Low,Friday,3
KIA Sorento 3.5 FWD 2021,8190000,Islamabad,2021,62132,Petrol,Automatic,Islamabad,Rich Espresso,Local,3500,03/05/2024,High,Medium,Friday,3
Honda City 1.2L M/T 2022,4450000,Gujranwala,2022,1800,Petrol,Not Available,Punjab,Taffeta White,Local,1200,04/05/2024,High,Low,Saturday,2
Daihatsu Mira G SA III 2021,4100000,Karachi,2021,9000,Petrol,Automatic,Un-Registered,Black,Imported,660,04/05/2024,High,Low,Saturday,3
Honda N Wgn G 2023,3985000,Lahore,2023,3000,Petrol,Automatic,Un-Registered,Green,Imported,660,04/05/2024,Medium,Low,Saturday,1
Toyota Corolla Altis Automatic 1.6 2020,5100000,Gujrat,2020,110000,Petrol,Automatic,Islamabad,Super White,Local,1600,04/05/2024,High,High,Saturday,4
Mercedes Benz EQS 2023,0,Lahore,2023,10,Not Available,Automatic,Un-Registered,White,Imported,1300,03/05/2024,Low,Low,Friday,1
Toyota Yaris 2020,4600000,Islamabad,2020,49000,Petrol,Automatic,Un-Registered,White,Imported,1000,03/05/2024,High,Low,Friday,4
Toyota Land Cruiser ZX Gasoline 3.5L 2023,82000000,Lahore,2023,20,Petrol,Automatic,Un-Registered,Attitude Metallic,Local,3500,03/05/2024,High,Low,Friday,1
Suzuki Wagon R VXL 2024,3325000,Lahore,2022,17000,Petrol,Not Available,Islamabad,Solid White,Local,1000,03/05/2024,Medium,Low,Friday,2
Toyota Fortuner 2.7 G 2023,15000000,Lahore,2023,10,Petrol,Automatic,Un-Registered,White,Local,2700,03/05/2024,High,Low,Friday,1
Honda Civic Oriel 2024,8719000,Lahore,2024,10,Petrol,Automatic,Un-Registered,White,Local,1500,03/05/2024,High,Low,Friday,0
Honda Civic RS 2024,9959000,Lahore,2024,10,Petrol,Automatic,Un-Registered,White,Local,1500,03/05/2024,High,Low,Friday,0
Suzuki Alto VXL AGS 2023,3100000,Sialkot,2023,7500,Petrol,Automatic,Punjab,Solid White,Local,660,04/05/2024,Medium,Low,Saturday,1
Suzuki Alto L 2020,3320000,Rawalpindi,2020,7500,Petrol,Automatic,Un-Registered,Beige,Imported,660,04/05/2024,Medium,Low,Saturday,4
Honda Civic Oriel 1.8 i-VTEC CVT 2021,6600000,Lahore,2021,12000,Petrol,Automatic,Punjab,White,Local,1800,04/05/2024,High,Low,Saturday,3
Toyota Fortuner GR-S 2024,21700000,Lahore,2024,10,Diesel,Automatic,Un-Registered,Black,Local,2800,03/05/2024,High,Low,Friday,0
Toyota Fortuner 2.8 Sigma 4 2020,14000000,Rawalpindi,2020,37000,Diesel,Automatic,Islamabad,Super White,Local,2800,03/05/2024,High,Low,Friday,4
Toyota Corolla Cross 1.8 HEV X 2024,0,Lahore,2024,8,Hybrid,Automatic,Un-Registered,Platinum White Pearl,Local,1798,03/05/2024,Low,Low,Friday,0
Honda N Wgn G 2021,3449000,Gujranwala,2021,55000,Petrol,Automatic,Un-Registered,Blue,Imported,660,03/05/2024,Medium,Medium,Friday,3
Honda Civic Oriel 1.8 i-VTEC CVT 2022,7200000,Islamabad,2022,15500,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,03/05/2024,High,Low,Friday,2
KIA Sportage AWD 2020,7150000,Rawalpindi,2020,69000,Petrol,Automatic,Islamabad,White,Local,2000,03/05/2024,High,Medium,Friday,4
Nissan Dayz Highway star X 2021,3700000,Islamabad,2021,30111,Petrol,Automatic,Islamabad,White,Imported,660,03/05/2024,Medium,Low,Friday,3
Suzuki Cultus VXL 2020,3300000,Multan,2020,29000,Petrol,Not Available,Punjab,White,Local,1000,03/05/2024,Medium,Low,Friday,4
KIA Stonic EX+ 2024,5450000,Karachi,2024,40,Petrol,Automatic,Un-Registered,Panthera Metal,Local,1400,03/05/2024,High,Low,Friday,0
Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,6600000,Lahore,2022,17000,Petrol,Automatic,Punjab,Super White,Local,1598,04/05/2024,High,Low,Saturday,2
Suzuki Alto VXL AGS 2022,2800000,Gujrat,2022,19900,Petrol,Automatic,Islamabad,White,Local,660,04/05/2024,Medium,Low,Saturday,2
Haval H6 2.0T AWD 2023,11000000,Sialkot,2023,1000,Petrol,Automatic,Islamabad,Polar White,Local,2000,04/05/2024,High,Low,Saturday,1
Toyota Corolla Altis X Automatic 1.6 2023,6550000,Kasur,2023,10,Petrol,Automatic,Un-Registered,Super White,Imported,1598,03/05/2024,High,Low,Friday,1
Honda City 1.3 i-VTEC Prosmatec 2020,3875000,Lahore,2020,51100,Petrol,Automatic,Lahore,Silver,Local,1300,03/05/2024,Medium,Medium,Friday,4
Toyota Yaris 2021,4450000,Karachi,2021,95000,Petrol,Automatic,Un-Registered,White,Imported,1000,03/05/2024,High,Medium,Friday,3
Honda Civic Oriel 1.8 i-VTEC CVT 2020,6100000,Hyderabad,2020,38000,Petrol,Automatic,Karachi,White,Local,1800,03/05/2024,High,Low,Friday,4
Toyota Prado TX 2.7 2020,26500000,Lahore,2020,38000,Petrol,Automatic,Un-Registered,Attitude Black Mica,Imported,2700,03/05/2024,High,Low,Friday,4
Honda Civic RS 2022,8500000,Faisalabad,2022,30680,Petrol,Automatic,Islamabad,Indigo,Local,1500,03/05/2024,High,Low,Friday,2
Honda Civic Oriel 1.8 i-VTEC CVT 2022,6775000,Islamabad,2022,31000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,03/05/2024,High,Low,Friday,2
Toyota Fortuner Legender  2023,19500000,Lahore,2023,523,Diesel,Automatic,Un-Registered,Super White,Local,2800,04/05/2024,High,Low,Saturday,1
Hyundai Elantra GLS 2022,6400000,Rahim yar khan,2022,25000,Petrol,Automatic,Islamabad,Polar White,Local,2000,04/05/2024,High,Low,Saturday,2
Honda City 1.2L CVT 2023,4450000,Lahore,2023,15000,Petrol,Automatic,Lahore,Metroid Grey,Local,1200,04/05/2024,High,Low,Saturday,1
Hyundai Tucson AWD A/T Ultimate 2023,8700000,Faisalabad,2023,12000,Petrol,Automatic,Islamabad,Polar White,Local,2000,04/05/2024,High,Low,Saturday,1
KIA Sportage FWD 2020,6550000,Lahore,2020,75000,Petrol,Automatic,Islamabad,White,Local,2000,04/05/2024,High,Medium,Saturday,4
Adam Revo 2023,14500000,Rawalpindi,2023,34000,Diesel,Automatic,Islamabad,Black,Local,2900,03/05/2024,High,Low,Friday,1
Daihatsu Move Custom X 2021,0,Karachi,2021,12000,Petrol,Automatic,Un-Registered,Silver,Imported,660,03/05/2024,Low,Low,Friday,3
Honda City 1.5L ASPIRE CVT 2022,5650000,Islamabad,2022,3600,Petrol,Automatic,Islamabad,White,Local,1500,03/05/2024,High,Low,Friday,2
Daihatsu Mira G SA III 2021,3950000,Karachi,2021,14500,Petrol,Automatic,Un-Registered,White,Imported,660,03/05/2024,Medium,Low,Friday,3
MG HS Trophy 2021,6850000,Lahore,2021,32500,Petrol,Automatic,Punjab,White,Imported,1500,03/05/2024,High,Low,Friday,3
Nissan Dayz Highway star G 2020,3754999,Karachi,2020,62000,Hybrid,Automatic,Un-Registered,Purple,Imported,660,03/05/2024,Medium,Medium,Friday,4
MG HS Essence 2023,7650000,Lahore,2023,20000,Petrol,Automatic,Punjab,White,Local,1500,04/05/2024,High,Low,Saturday,1
Suzuki Wagon R VXL 2020,2500000,Lahore,2020,170000,Petrol,Not Available,Punjab,Solid White,Local,1000,04/05/2024,Medium,High,Saturday,4
Nissan Dayz Highway star S hybrid X pro pilot 2020,3679999,Gujranwala,2020,20000,Hybrid,Automatic,Un-Registered,Black,Imported,660,04/05/2024,Medium,Low,Saturday,4
Suzuki Alto VXR 2021,2425000,Rawalpindi,2021,54400,Petrol,Not Available,Punjab,Solid White,Local,660,04/05/2024,Medium,Medium,Saturday,3
KIA Sportage AWD 2022,7900000,Karachi,2022,23000,Petrol,Automatic,Karachi,Grey,Local,2000,04/05/2024,High,Low,Saturday,2
Honda Civic Oriel 1.8 i-VTEC CVT 2021,6650000,Multan,2021,27000,Petrol,Automatic,Lahore,Black,Local,1800,03/05/2024,High,Low,Friday,3
Honda City 1.5L ASPIRE CVT 2022,5100000,Multan,2022,16000,Petrol,Automatic,Lahore,Black,Local,1500,03/05/2024,High,Low,Friday,2
Toyota Hilux Revo Rocco 2023,14900000,Multan,2023,27500,Diesel,Automatic,Punjab,Attitude Black,Local,2800,03/05/2024,High,Low,Friday,1
Honda Civic Oriel 1.8 i-VTEC CVT 2021,6650000,Multan,2021,20500,Petrol,Automatic,Islamabad,Black,Local,1800,03/05/2024,High,Low,Friday,3
Audi e-tron 50 Quattro 230 kW 2020,21000000,Lahore,2020,43000,Not Available,Automatic,Islamabad,White,Imported,1300,03/05/2024,High,Low,Friday,4
Toyota Land Cruiser ZX Gasoline 3.5L 2022,71000000,Karachi,2022,6000,Petrol,Automatic,Un-Registered,White,Imported,3500,03/05/2024,High,Low,Friday,2
Lexus LX Series LX 600 Ultra Luxury 2022,117500000,Karachi,2022,2000,Petrol,Automatic,Un-Registered,White,Imported,3500,03/05/2024,High,Low,Friday,2
Suzuki Wagon R Hybrid FX 2021,4300000,Rawalpindi,2021,27000,Hybrid,Automatic,Islamabad,Blue,Imported,660,03/05/2024,High,Low,Friday,3
Honda HR-V VTi-S 2022,7100000,Lahore,2022,19855,Petrol,Automatic,Punjab,Black,Local,1500,03/05/2024,High,Low,Friday,2
MG HS Excite 2024,7650000,Lahore,2022,4500,Petrol,Automatic,Punjab,Black,Imported,1500,03/05/2024,High,Low,Friday,2
Suzuki Alto VXR 2022,2550000,Wah cantt,2022,22000,Petrol,Not Available,Islamabad,Solid White,Local,660,03/05/2024,Medium,Low,Friday,2
Toyota Corolla Altis Automatic 1.6 2020,5000000,Gujrat,2020,104500,Petrol,Automatic,Islamabad,Super White,Local,1600,03/05/2024,High,High,Friday,4
Nissan Dayz Highway star S hybrid X pro pilot 2020,3850000,Lahore,2020,6000,Hybrid,Automatic,Un-Registered,Grey,Imported,659,03/05/2024,Medium,Low,Friday,4
Suzuki Alto VXR 2022,2535000,Lahore,2022,25000,Petrol,Not Available,Punjab,White,Local,660,03/05/2024,Medium,Low,Friday,2
Daihatsu Mira L SA 2020,3440000,Islamabad,2020,22500,Petrol,Automatic,Un-Registered,White,Imported,660,03/05/2024,Medium,Low,Friday,4
Suzuki Cultus VXL 2022,3650000,Lahore,2022,18000,Petrol,Not Available,Punjab,White,Local,1000,03/05/2024,Medium,Low,Friday,2
Peugeot 2008 Allure 2022,6800000,Multan,2022,38500,Petrol,Automatic,Punjab,Clear White,Local,1200,03/05/2024,High,Low,Friday,2
Hyundai Elantra GLS 2022,6225000,Lahore,2022,33000,Petrol,Automatic,Un-Registered,White,Imported,2000,03/05/2024,High,Low,Friday,2
Toyota Raize Z 2021,5800000,Abbottabad,2021,98000,Petrol,Automatic,Un-Registered,White,Imported,996,03/05/2024,High,Medium,Friday,3
Nissan Dayz Highway star S hybrid X pro pilot 2020,4150000,Sialkot,2020,18500,Petrol,Automatic,Punjab,White,Imported,660,03/05/2024,High,Low,Friday,4
Suzuki Alto VXL AGS 2022,2750000,Karachi,2022,17000,Petrol,Automatic,Sindh,Graphite Grey,Local,660,03/05/2024,Medium,Low,Friday,2
Honda Civic Oriel 1.8 i-VTEC CVT 2020,5900000,Lahore,2020,85000,Petrol,Automatic,Lahore,White,Local,1800,03/05/2024,High,Medium,Friday,4
Haval H6 1.5T 2024,9800000,Sahiwal,2024,1,Petrol,Automatic,Un-Registered,Polar White,Local,1500,03/05/2024,High,Low,Friday,0
Toyota Aqua L 2020,5700000,Islamabad,2020,90000,Hybrid,Automatic,Un-Registered,Silver,Imported,1500,03/05/2024,High,Medium,Friday,4
Changan Karvaan 2021,2050000,Karachi,2021,110000,Petrol,Not Available,Karachi,White,Imported,1000,03/05/2024,Low,High,Friday,3
MG 4 Excite 2023,11700000,Lahore,2023,3528,Not Available,Automatic,Un-Registered,DOVER WHITE,Local,1300,03/05/2024,High,Low,Friday,1
Haval H6 HEV 2024,12600000,Lahore,2024,6,Hybrid,Automatic,Un-Registered,White,Local,1500,03/05/2024,High,Low,Friday,0
Toyota Fortuner Legender  2023,0,Islamabad,2023,4846,Diesel,Automatic,Islamabad,White,Local,2800,03/05/2024,Low,Low,Friday,1
Haval H6 HEV 2023,12100000,Islamabad,2023,29654,Hybrid,Automatic,Islamabad,Black,Local,1500,03/05/2024,High,Low,Friday,1
Toyota Corolla Altis Automatic 1.6 2021,5200000,Karachi,2021,13500,Petrol,Automatic,Karachi,Super White,Local,1600,03/05/2024,High,Low,Friday,3
Changan Oshan X7 FutureSense 2022,7800000,Karachi,2022,45000,Petrol,Automatic,Karachi,Orion Blue,Local,1500,03/05/2024,High,Low,Friday,2
Suzuki Swift GLX CVT 2022,4490000,Karachi,2022,37000,Petrol,Automatic,Sindh,Black,Local,1200,03/05/2024,High,Low,Friday,2
KIA Sportage AWD 2021,7100000,Karachi,2021,44000,Petrol,Automatic,Karachi,White,Imported,2000,03/05/2024,High,Low,Friday,3
Toyota Aqua S 2020,6800000,Karachi,2020,32800,Hybrid,Automatic,Un-Registered,White,Imported,1500,03/05/2024,High,Low,Friday,4
Honda N Wgn Custom 2021,3650000,Islamabad,2021,3165,Petrol,Automatic,Un-Registered,Khaki,Imported,660,03/05/2024,Medium,Low,Friday,3
KIA Sportage AWD 2022,7600000,Hyderabad,2022,29000,Petrol,Automatic,Karachi,White,Imported,2000,03/05/2024,High,Low,Friday,2
KIA Picanto 1.0 MT 2024,3650000,Lahore,2021,6370,Petrol,Not Available,Punjab,Clear White,Local,998,03/05/2024,Medium,Low,Friday,3
Hyundai Tucson AWD A/T Ultimate 2023,8800000,Multan,2023,10500,Petrol,Automatic,Punjab,White,Local,2000,03/05/2024,High,Low,Friday,1
Honda N Wgn G 2021,3700000,Lahore,2021,20000,Petrol,Automatic,Un-Registered,Black,Imported,660,03/05/2024,Medium,Low,Friday,3
Honda Grace Hybrid LX 2020,7295000,Lahore,2020,29500,Petrol,Automatic,Un-Registered,Luna Silver Metallic,Imported,1500,03/05/2024,High,Low,Friday,4
Toyota Raize Z 2021,6375000,Lahore,2021,32000,Petrol,Automatic,Islamabad,White,Imported,996,03/05/2024,High,Low,Friday,3
Honda Civic Oriel 1.8 i-VTEC CVT 2021,6700000,Haripur,2021,51000,Petrol,Automatic,Islamabad,Crystal Black,Local,1800,03/05/2024,High,Medium,Friday,3
Nissan Dayz Highway star S hybrid X pro pilot 2022,4395000,Lahore,2022,15000,Hybrid,Automatic,Un-Registered,White,Imported,659,03/05/2024,High,Low,Friday,2
Chery Tiggo 8 Pro 1.6 DEX Plus 2022,8250000,Lahore,2022,10000,Petrol,Automatic,Punjab,Quartz Black,Local,1600,03/05/2024,High,Low,Friday,2
Toyota Corolla Altis Automatic 1.6 2020,4900000,Sialkot,2020,68000,Petrol,Automatic,Islamabad,Super White,Local,1600,03/05/2024,High,Medium,Friday,4
Changan Alsvin 1.3L MT Comfort 2021,3150000,Lahore,2021,55000,Petrol,Not Available,Punjab,Lunar Silver,Local,1300,03/05/2024,Medium,Medium,Friday,3
Suzuki Every GA 2020,2450000,Islamabad,2020,55000,Petrol,Automatic,Un-Registered,White,Imported,660,03/05/2024,Medium,Medium,Friday,4
KIA Sportage AWD 2023,8500000,Karachi,2023,3000,Petrol,Automatic,Karachi,White,Local,2000,03/05/2024,High,Low,Friday,1
Honda City 1.2L M/T 2021,3890000,Lahore,2021,41237,Petrol,Not Available,Punjab,Grey,Local,1200,03/05/2024,Medium,Low,Friday,3
Honda Civic Oriel 2022,7625000,Lahore,2022,42500,Petrol,Automatic,Punjab,Teffeta White,Local,1500,03/05/2024,High,Low,Friday,2
GMC Sierra Denali 2020,59500000,Islamabad,2020,20000,Diesel,Automatic,Islamabad,White,Imported,6600,03/05/2024,High,Low,Friday,4
Daihatsu Mira Tocot 2020,3250000,Lahore,2020,21000,Petrol,Automatic,Un-Registered,White,Imported,660,03/05/2024,Medium,Low,Friday,4
Suzuki Hustler 2021,3970000,Islamabad,2021,16141,Hybrid,Automatic,Un-Registered,Green,Imported,660,03/05/2024,Medium,Low,Friday,3
Toyota Corolla Altis 1.6 X CVT-i 2022,5700000,Karachi,2022,9500,Petrol,Automatic,Karachi,Grey,Local,1600,03/05/2024,High,Low,Friday,2
Toyota Yaris 2020,430000,Hyderabad,2020,67000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,03/05/2024,Low,Medium,Friday,4
Suzuki Alto VXR 2022,2400000,Hyderabad,2022,30000,Petrol,Not Available,Sindh,Solid White,Local,660,03/05/2024,Medium,Low,Friday,2
Suzuki Wagon R VXL 2021,3000000,Gujranwala,2021,43000,Petrol,Not Available,Punjab,White,Local,1000,03/05/2024,Medium,Low,Friday,3
Suzuki Alto VXR 2023,2700000,Quetta,2023,2044,Petrol,Not Available,Sindh,Solid White,Local,660,03/05/2024,Medium,Low,Friday,1
Nissan Dayz Highway star X 2020,3579999,Gujranwala,2020,12000,Petrol,Automatic,Un-Registered,White,Imported,659,03/05/2024,Medium,Low,Friday,4
Suzuki Wagon R Hybrid FX 2020,3600000,Peshawar,2020,130317,Hybrid,Automatic,Un-Registered,Blue,Imported,660,03/05/2024,Medium,High,Friday,4
Nissan Dayz Highway star S hybrid X pro pilot 2020,4100000,Karachi,2020,22000,Hybrid,Automatic,Un-Registered,Grey,Imported,659,03/05/2024,High,Low,Friday,4
Suzuki Wagon R 2020,3470000,Islamabad,2020,3126,Hybrid,Automatic,Un-Registered,Silver,Imported,660,03/05/2024,Medium,Low,Friday,4
Daihatsu Mira X SA lll 2021,4000000,Karachi,2021,80,Petrol,Automatic,Un-Registered,Silver,Imported,660,03/05/2024,Medium,Low,Friday,3
Daihatsu Mira X SA lll 2021,3900000,Karachi,2021,10000,Petrol,Automatic,Un-Registered,Pearl White,Imported,660,03/05/2024,Medium,Low,Friday,3
Toyota Corolla Hybrid 2020,9570000,Islamabad,2020,134000,Hybrid,Automatic,Un-Registered,White,Imported,1800,03/05/2024,High,High,Friday,4
Toyota Fortuner 2.7 VVTi 2020,14000000,Lahore,2020,17488,Petrol,Automatic,Lahore,Black,Local,2700,03/05/2024,High,Low,Friday,4
Toyota Yaris ATIV CVT 1.3 2020,4200000,Lahore,2020,39000,Petrol,Automatic,Punjab,Orange,Local,1300,03/05/2024,High,Low,Friday,4
Suzuki Alto VXL AGS 2022,2830000,Gujranwala,2022,28000,Petrol,Automatic,Punjab,Solid White,Local,660,03/05/2024,Medium,Low,Friday,2
Suzuki Alto VXR 2022,2500000,Multan,2022,20000,Petrol,Not Available,Punjab,White,Local,660,03/05/2024,Medium,Low,Friday,2
Hyundai Sonata 2.5 2022,10000000,Gujranwala,2022,36000,Petrol,Automatic,Islamabad,White,Local,2500,03/05/2024,High,Low,Friday,2
Daihatsu Move L 2020,3350000,Gujranwala,2020,8900,Petrol,Automatic,Un-Registered,Silver,Imported,660,03/05/2024,Medium,Low,Friday,4
Suzuki Alto VXL AGS 2020,2550000,Karachi,2020,48000,Petrol,Automatic,Sindh,Solid White,Local,660,03/05/2024,Medium,Low,Friday,4
Honda HR-V VTi-S 2023,7350000,Karachi,2023,3700,Petrol,Automatic,Karachi,Lunar Silver Metallic,Local,1500,03/05/2024,High,Low,Friday,1
Daihatsu Taft 2022,4350000,Faisalabad,2022,17000,Petrol,Automatic,Un-Registered,Light Blue,Imported,660,03/05/2024,High,Low,Friday,2
Suzuki Hustler G 2020,3879999,Faisalabad,2020,33000,Petrol,Automatic,Un-Registered,Blue Sea,Imported,660,03/05/2024,Medium,Low,Friday,4
Suzuki Wagon R AGS 2022,3025000,Lahore,2022,34583,Petrol,Automatic,Punjab,White,Local,1000,03/05/2024,Medium,Low,Friday,2
Suzuki Alto VXL AGS 2021,2680000,Karachi,2021,32000,Petrol,Automatic,Karachi,Silky Silver,Local,660,03/05/2024,Medium,Low,Friday,3
Suzuki Cultus VXL 2023,4050000,Lahore,2023,14,Petrol,Not Available,Un-Registered,White,Local,1000,03/05/2024,High,Low,Friday,1
Honda City 1.2L CVT 2022,4350000,Karachi,2022,26000,Petrol,Automatic,Karachi,Lunar Silver Metallic,Local,1200,03/05/2024,High,Low,Friday,2
Honda City 1.5L ASPIRE CVT 2022,5050000,Rawalpindi,2022,15000,Petrol,Automatic,Islamabad,White,Local,1500,03/05/2024,High,Low,Friday,2
Suzuki Swift GLX CVT 2023,4800000,Lahore,2023,14000,Petrol,Automatic,Punjab,White,Local,1200,03/05/2024,High,Low,Friday,1
Honda City 1.3 i-VTEC 2021,3785000,Multan,2021,39350,Petrol,Not Available,Punjab,Taffeta White,Local,1300,03/05/2024,Medium,Low,Friday,3
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,7450000,Lahore,2022,7200,Petrol,Automatic,Punjab,Super white,Local,1800,03/05/2024,High,Low,Friday,2
Daihatsu Mira X SA lll 2021,3575000,Faisalabad,2021,18500,Petrol,Automatic,Un-Registered,Turquoise,Imported,660,03/05/2024,Medium,Low,Friday,3
