title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Toyota Hilux Double Cab 1988,2200000,Peshawar,1992,150000,Diesel,Not Available,Islamabad,White,Local,2400,04/05/2024,Low,High,Saturday,32
Toyota Platz F 1.0 2003,1550000,Karachi,2003,95000,Petrol,Automatic,Karachi,Silver,Imported,1000,04/05/2024,Low,Medium,Saturday,21
Honda City EXi 2002,850000,Malakwal,2002,433000,Petrol,Not Available,Mirpur A.K.,Gold,Local,1300,04/05/2024,Low,High,Saturday,22
Toyota Belta G 1.3 2006,2350000,Sahiwal,2006,174000,Petrol,Automatic,Karachi,Silver Metallic,Imported,1300,04/05/2024,Medium,High,Saturday,18
Toyota Probox 2006,2370000,Karachi,2006,123000,Petrol,Automatic,Karachi,Silver,Imported,1300,04/05/2024,Medium,High,Saturday,18
Honda City EXi 2003,1100000,Islamabad,2003,200000,Petrol,Not Available,Muzaffarabad,White,Local,1300,04/05/2024,Low,High,Saturday,21
Honda Civic EXi 2005,1400000,Lahore,2005,169000,Petrol,Not Available,Punjab,Blue,Local,1500,04/05/2024,Low,High,Saturday,19
Sogo Pickup 1993,1360000,Faisalabad,1993,100000,Diesel,Not Available,Punjab,White,Local,2600,04/05/2024,Low,Medium,Saturday,31
Suzuki Liana LXi Sport 2006,114999,Islamabad,2006,339000,Petrol,Not Available,Islamabad,Silver,Local,1300,04/05/2024,Low,High,Saturday,18
Honda City EXi 1999,1125000,Islamabad,1999,387000,Petrol,Not Available,Lahore,White,Local,1300,04/05/2024,Low,High,Saturday,25
Mitsubishi Pajero Exceed 2.5D 1985,1200000,Karachi,1996,250000,Diesel,Not Available,Karachi,White,Imported,2500,03/05/2024,Low,High,Friday,28
Hyundai Santro Exec GV 2004,955000,Karachi,2004,130000,Petrol,Not Available,Sindh,Blue,Local,1000,03/05/2024,Low,High,Friday,20
Honda Civic VTi 1.6 2004,1575000,Sargodha,2004,135000,Petrol,Not Available,Lahore,Taffeta White,Local,1600,03/05/2024,Low,High,Friday,20
Suzuki Mehran VXR 2004,670000,Rawalpindi,2004,150000,Petrol,Not Available,Gujranwala,Red,Local,800,03/05/2024,Low,High,Friday,20
Honda City 2001,1075000,Karachi,2001,100,Petrol,Automatic,Karachi,Gold,Local,1300,03/05/2024,Low,Low,Friday,23
Toyota Surf SSR-X 3.0D 1997,4000000,Islamabad,1997,130000,Diesel,Automatic,Islamabad,Black,Imported,3000,03/05/2024,Medium,High,Friday,27
Mitsubishi Pajero Mini 1998,1400000,Rawalpindi,1998,50000,Petrol,Not Available,Sindh,Blue,Local,1100,03/05/2024,Low,Low,Friday,26
Toyota Land Cruiser Amazon 4.2D 2003,10500000,Islamabad,2003,145000,Diesel,Automatic,Islamabad,Navy,Imported,4200,03/05/2024,High,High,Friday,21
Mercedes Benz C Class C180 2001,3200000,Islamabad,2001,220000,Petrol,Automatic,Islamabad,Blue,Local,1800,03/05/2024,Medium,High,Friday,23
Suzuki Mehran VX 2003,725000,Karachi,2003,67000,Petrol,Not Available,Karachi,Maroon,Local,800,03/05/2024,Low,Medium,Friday,21
Honda City i-DSI 2006,1850000,Jaranwala,2006,240000,Petrol,Not Available,Sialkot,Silver,Local,1300,03/05/2024,Low,High,Friday,18
Honda Civic VTi Oriel Prosmatec 1.6 2004,2150000,Islamabad,2004,225568,Petrol,Automatic,Rawalpindi,Silver,Local,1600,03/05/2024,Low,High,Friday,20
Mitsubishi Galant 1.6 GLX 1992,1050000,Sialkot,1992,100000,Petrol,Not Available,Karachi,Metallic Silver,Imported,1600,03/05/2024,Low,Medium,Friday,32
Toyota Land Cruiser Cygnus 2004,0,Lahore,2004,100000,Petrol,Automatic,Karachi,Black,Imported,4700,03/05/2024,Low,Medium,Friday,20
Honda Civic EXi Prosmatec 2006,1450000,Karachi,2006,146000,Petrol,Automatic,Sindh,Black,Local,1500,03/05/2024,Low,High,Friday,18
Honda City EXi Neo 1.5 1997,1300000,Lahore,1997,13319,Petrol,Not Available,Punjab,Gold,Local,1500,03/05/2024,Low,Low,Friday,27
Suzuki Liana LXi Sport 2006,980000,Karachi,2006,125000,Petrol,Not Available,Karachi,White,Local,1300,03/05/2024,Low,High,Friday,18
Suzuki Liana 2006,950000,Karachi,2006,150000,Petrol,Not Available,Karachi,White,Local,1300,03/05/2024,Low,High,Friday,18
Suzuki Mehran VXR 2004,860000,Islamabad,2004,80000,Petrol,Not Available,Punjab,Silver Metallic,Local,800,03/05/2024,Low,Medium,Friday,20
Nissan March 2006,1650000,Islamabad,2006,120000,Petrol,Not Available,Islamabad,White,Imported,1300,03/05/2024,Low,High,Friday,18
Honda City 2006,1530000,Karachi,2006,157000,Petrol,Not Available,Sindh,Silver,Local,1300,03/05/2024,Low,High,Friday,18
Suzuki Margalla GL 1995,575000,Karachi,1995,100000,Petrol,Not Available,Un-Registered,Black,Local,1300,03/05/2024,Low,Medium,Friday,29
Suzuki Baleno JXR 2004,795000,Karachi,2004,125412,Petrol,Not Available,Sindh,Silky Silver,Local,1300,03/05/2024,Low,High,Friday,20
Toyota Land Cruiser Cygnus 2002,9200000,Lahore,2002,183000,Petrol,Automatic,Lahore,White,Imported,4700,03/05/2024,High,High,Friday,22
Honda City 2004,1700000,Kasur,2004,294000,Petrol,Automatic,Lahore,Blue,Local,1300,03/05/2024,Low,High,Friday,20
Mitsubishi Lancer GLX Automatic 1.6 2004,1600000,Islamabad,2004,250000,Petrol,Automatic,Islamabad,Cool Silver Metallic,Imported,1600,03/05/2024,Low,High,Friday,20
Toyota Premio X 1.8 2003,2600000,Karachi,2003,250000,Petrol,Automatic,Karachi,Super White,Imported,1800,03/05/2024,Medium,High,Friday,21
Honda Civic EXi Prosmatec 2002,1315000,Karachi,2002,200000,Petrol,Automatic,Sindh,Rose Mist,Local,1500,03/05/2024,Low,High,Friday,22
Toyota Corolla SE Limited 1994,969999,Nowshera,1994,154860,Petrol,Not Available,Sindh,Red,Imported,1500,03/05/2024,Low,High,Friday,30
Suzuki Khyber GA 1992,350000,Lahore,1992,80000,Petrol,Not Available,Lahore,Grey,Local,1000,03/05/2024,Low,Medium,Friday,32
Honda Civic EXi Automatic 1998,1250000,Mansehra,1998,198000,Petrol,Automatic,Sindh,White,Local,1500,03/05/2024,Low,High,Friday,26
Toyota Prado RZ 3.4 (3-Door) 1996,4195000,Lahore,1996,147000,Petrol,Automatic,Lahore,Blue,Local,3400,03/05/2024,High,High,Friday,28
Toyota Surf SSR-G 3.4 2004,8600000,Islamabad,2004,175000,Petrol,Automatic,Lahore,White,Imported,3400,03/05/2024,High,High,Friday,20
Honda Civic VTi Prosmatec 1.6 2002,1520000,Islamabad,2002,120000,Petrol,Automatic,Punjab,Silver,Local,1600,03/05/2024,Low,High,Friday,22
Suzuki Cultus VXL 2005,800000,Islamabad,2005,150000,Petrol,Not Available,Lahore,Silver,Local,1000,03/05/2024,Low,High,Friday,19
Honda City i-DSI Vario 2004,1550000,Lahore,2004,123653,Petrol,Automatic,Lahore,Taffeta White,Local,1300,03/05/2024,Low,High,Friday,20
Toyota Corolla 1999,1600000,Rawat,1999,250000,Petrol,Automatic,Punjab,Green,Imported,1600,03/05/2024,Low,High,Friday,25
Hyundai Santro Exec 2005,800000,Lahore,2005,227558,Petrol,Not Available,Lahore,White,Local,1000,03/05/2024,Low,High,Friday,19
Mitsubishi Pajero 1985,1355000,Karachi,2003,199500,Petrol,Automatic,Karachi,Grey,Imported,2000,03/05/2024,Low,High,Friday,21
Honda Civic VTi Oriel UG Prosmatec 1.6 2006,1839999,Rawalpindi,2006,246000,Petrol,Automatic,Rawalpindi,Crystal Black,Local,1600,03/05/2024,Low,High,Friday,18
Suzuki Alto VXR (CNG) 2004,695000,Karachi,2004,125000,Petrol,Not Available,Karachi,Graphite Grey,Imported,1000,03/05/2024,Low,High,Friday,20
Mitsubishi Pajero Exceed Automatic 2.8D 1994,2200000,Karachi,1994,100000,Diesel,Automatic,Sindh,Blue,Imported,2800,03/05/2024,Low,Medium,Friday,30
Toyota Corolla SE Limited 1988,795000,Lahore,2006,786,Petrol,Not Available,Punjab,White,Imported,1300,03/05/2024,Low,Low,Friday,18
Jeep CJ 5 1960,3100000,Rawalpindi,2003,150,Diesel,Not Available,Quetta,Silver,Local,2000,03/05/2024,Medium,Low,Friday,21
Honda City i-DSI 2006,1775000,Islamabad,2006,175000,Petrol,Not Available,Lahore,Alabaster Silver,Local,1300,03/05/2024,Low,High,Friday,18
Toyota Vitz F 1.0 1999,1425000,Peshawar,1999,325868,Petrol,Automatic,Quetta,Silver,Imported,1000,03/05/2024,Low,High,Friday,25
Toyota Land Cruiser VX Limited 4.2D 2002,8000000,Lahore,2002,280000,Diesel,Automatic,Lahore,White,Imported,4200,03/05/2024,High,High,Friday,22
Honda Civic 1995,680000,Lahore,1995,150000,Petrol,Not Available,Sindh,Blue,Local,1500,03/05/2024,Low,High,Friday,29
Toyota Corolla 1981,695000,Swatmingora,2002,1199,Not Available,Not Available,Lahore,Orange,Imported,2000,03/05/2024,Low,Low,Friday,22
Toyota Corolla XE-G 1997,1375000,Nowshera cantt,1997,240000,Petrol,Not Available,Islamabad,Maroon,Local,1300,03/05/2024,Low,High,Friday,27
Toyota Mark X 300G 2005,4300000,Islamabad,2005,139173,Petrol,Automatic,Islamabad,White Pearl Crystal,Imported,3000,03/05/2024,High,High,Friday,19
Daihatsu Cuore CX Eco 2004,830000,Lahore,2004,77000,Petrol,Not Available,Lahore,White,Local,800,03/05/2024,Low,Medium,Friday,20
Suzuki Liana LXi Sport 2006,994999,Okara,2006,136000,Petrol,Not Available,Lahore,Maroon,Local,1300,03/05/2024,Low,High,Friday,18
Mitsubishi Lancer GLX Automatic 1.3 2004,1595000,Rawalpindi,2004,150000,Petrol,Automatic,Lahore,Gold,Local,1300,03/05/2024,Low,High,Friday,20
Toyota Corolla 1994,1180000,Attock,1994,230000,Petrol,Automatic,Lahore,Silver,Local,1500,03/05/2024,Low,High,Friday,30
Mitsubishi Pajero GLX 3.2D 1999,3800000,Karachi,1999,108000,Diesel,Automatic,Karachi,Silver,Imported,3200,03/05/2024,Medium,High,Friday,25
Honda Civic EXi 2006,1664999,Faisalabad,2006,163000,Petrol,Not Available,Lahore,Silver,Imported,1500,03/05/2024,Low,High,Friday,18
Toyota Hilux Double Cab 1994,2400000,Sukkur,1994,200000,Diesel,Not Available,Sindh,Black,Imported,2400,03/05/2024,Medium,High,Friday,30
Honda Civic VTi Oriel Prosmatec 1.6 2004,1589000,Attock,2004,170000,Petrol,Automatic,Sindh,Grey,Local,1600,03/05/2024,Low,High,Friday,20
Honda Civic EXi 2006,1995000,Islamabad,2006,165000,Petrol,Not Available,Islamabad,White,Local,1500,03/05/2024,Low,High,Friday,18
Suzuki Baleno JXR 2003,850000,Chakwal,2003,275000,Petrol,Not Available,Sindh,Silky Silver,Local,1300,03/05/2024,Low,High,Friday,21
Suzuki Alto VXR 2005,678000,Karachi,2005,78300,Petrol,Not Available,Sindh,Gold,Local,1000,03/05/2024,Low,Medium,Friday,19
Toyota Land Cruiser VX 4.2D 2002,9000000,Bahawalnagar,2002,200000,Diesel,Automatic,Sindh,White,Imported,4200,03/05/2024,High,High,Friday,22
Honda Civic EXi 2005,1450000,Multan,2005,125000,Petrol,Not Available,Islamabad,White,Local,1600,03/05/2024,Low,High,Friday,19
Daewoo Racer 1992,430000,Rawalpindi,1992,10000,Petrol,Not Available,Punjab,Black,Local,1500,03/05/2024,Low,Low,Friday,32
Suzuki Mehran VXR 2004,765000,Islamabad,2004,100000,Petrol,Not Available,Lahore,White,Local,800,03/05/2024,Low,Medium,Friday,20
Mitsubishi Pajero Mini XR 1994,1125000,Lahore,1994,125000,Petrol,Automatic,Lahore,Green,Imported,660,03/05/2024,Low,High,Friday,30
Honda Life Comfort Special 2006,1445000,Karachi,2006,125000,Petrol,Automatic,Karachi,Premium White Pearl,Imported,660,03/05/2024,Low,High,Friday,18
Honda Civic VTi Oriel 1.6 2004,1650000,Rawalpindi,2004,160050,Petrol,Not Available,Islamabad,Black,Local,1600,03/05/2024,Low,High,Friday,20
Mercedes Benz E Class E200 2003,3500000,Lahore,2003,145000,Petrol,Automatic,Punjab,Maroon,Imported,1800,03/05/2024,Medium,High,Friday,21
Honda Civic EXi Prosmatec 2001,1750000,Lahore,2001,183000,Petrol,Automatic,Lahore,White,Local,1500,03/05/2024,Low,High,Friday,23
Mercedes Benz E Class 2006,5450000,Lahore,2006,61000,Petrol,Automatic,Punjab,Black,Imported,2000,03/05/2024,High,Medium,Friday,18
Honda Civic VTi Oriel Prosmatec 1.6 2004,1730000,Daska,2004,202000,Petrol,Automatic,Lahore,White,Local,1600,03/05/2024,Low,High,Friday,20
Toyota Vitz F 1.0 2005,1995000,Rawalpindi,2005,236000,Petrol,Automatic,Islamabad,Black,Imported,1000,03/05/2024,Low,High,Friday,19
Toyota Cressida GL 1991,3500000,Lahore,1991,125000,Petrol,Automatic,Islamabad,White,Imported,3000,03/05/2024,Medium,High,Friday,33
Toyota Prado TZ 3.4 1996,4490000,Islamabad,1996,166000,Petrol,Automatic,Lahore,Green,Imported,3400,03/05/2024,High,High,Friday,28
Honda Civic 1995,650000,Peshawar,1995,1000000,Petrol,Not Available,Sindh,Black,Local,1500,03/05/2024,Low,High,Friday,29
Toyota Corolla XE-G 2000,1700000,Islamabad,2000,100000,Petrol,Not Available,Lahore,Maroon,Local,1300,03/05/2024,Low,Medium,Friday,24
Mitsubishi Lancer GLX 1.3 2005,1700000,Faisalabad,2005,152000,Petrol,Not Available,Lahore,Cool Silver Metallic,Local,1300,03/05/2024,Low,High,Friday,19
BMW 7 Series 760Li 2006,8400000,Lahore,2006,65000,Petrol,Automatic,Lahore,Black Sapphire Metallic,Imported,6000,03/05/2024,High,Medium,Friday,18
Mazda Titan 1992,844999,Lahore,1992,35000,Diesel,Not Available,Peshawar,?,Local,2400,03/05/2024,Low,Low,Friday,32
Suzuki Cultus VXR 2005,720000,Kallar kahar,2005,1,Petrol,Not Available,Karachi,White,Local,1000,03/05/2024,Low,Low,Friday,19
Suzuki Ravi 1993,350000,Karachi,1993,100000,Petrol,Not Available,Karachi,Green,Local,800,03/05/2024,Low,Medium,Friday,31
Toyota Land Cruiser 1987,2150000,Lahore,1993,185000,Diesel,Not Available,Lodhran,Red,Imported,2400,03/05/2024,Low,High,Friday,31
Toyota Corolla Altis Automatic 1.8 2005,2500000,Bhera,2005,150000,Petrol,Automatic,Lahore,Black Sand Pearl,Local,1800,03/05/2024,Medium,High,Friday,19
Toyota Land Cruiser 1998,5400000,Rawalpindi,1998,112000,Diesel,Automatic,Mirpur A.K.,Green,Imported,2800,03/05/2024,High,High,Friday,26
Honda Civic EXi 2005,1450000,Islamabad,2005,190000,Petrol,Not Available,Lahore,Crystal Black,Local,1500,03/05/2024,Low,High,Friday,19
Toyota Corona 1993,750000,Islamabad,1993,214500,Diesel,Not Available,Rawalpindi,Blue,Imported,2000,03/05/2024,Low,High,Friday,31
Honda Civic VTi Oriel Prosmatec 1.6 2004,1600000,Faisalabad,2004,171170,Petrol,Automatic,Punjab,Grey,Local,1600,03/05/2024,Low,High,Friday,20
Honda City i-DSI 2006,2250000,Rawalpindi,2006,1400,Petrol,Not Available,Islamabad,White,Local,1300,03/05/2024,Medium,Low,Friday,18
Honda Civic EXi 2006,1750000,Lahore,2006,140000,Petrol,Not Available,Lahore,White,Local,1500,03/05/2024,Low,High,Friday,18
Honda City 2006,1800000,Sheikhupura,2006,5,Petrol,Automatic,Punjab,Black,Imported,1400,03/05/2024,Low,Low,Friday,18
Honda Civic VTi Prosmatec 1.6 2004,1350000,Lahore,2004,209000,Petrol,Automatic,Karachi,Grey,Local,1600,03/05/2024,Low,High,Friday,20
Toyota Prado TZ 3.4 1996,4800000,Rawalpindi,1996,300000,Petrol,Automatic,Punjab,Silver,Imported,3400,03/05/2024,High,High,Friday,28
Honda Civic EXi 2005,1620000,Rawalpindi,2005,180000,Petrol,Not Available,Lahore,Blue,Imported,1500,03/05/2024,Low,High,Friday,19
Suzuki Mehran VX 2005,570000,Rawalpindi,2005,115000,Petrol,Not Available,Rawalpindi,Snow White Pearl,Local,800,03/05/2024,Low,High,Friday,19
Honda City i-DSI Vario 2006,1750000,Karachi,2006,49213,Petrol,Automatic,Karachi,Crystal Black,Local,1300,03/05/2024,Low,Low,Friday,18
Toyota Platz F 1.0 2005,1350000,Karachi,2005,150000,Petrol,Automatic,Karachi,Silver,Imported,1000,03/05/2024,Low,High,Friday,19
Suzuki Ravi 1982,250000,Karachi,2006,100000,Petrol,Not Available,Karachi,White,Local,800,03/05/2024,Low,Medium,Friday,18
Daihatsu Cuore 2005,720000,Karachi,2005,100000,Petrol,Automatic,Karachi,Blue,Local,1000,03/05/2024,Low,Medium,Friday,19
Suzuki Alto VXR 2003,590000,Karachi,2003,100000,Petrol,Not Available,Karachi,White,Local,1000,03/05/2024,Low,Medium,Friday,21
Hyundai Santro Plus 2000,630000,Lahore,2000,175000,Petrol,Not Available,Lahore,Green,Local,1000,03/05/2024,Low,High,Friday,24
Toyota Corolla GLi 1.6 1998,1350000,Islamabad,1998,100000,Petrol,Not Available,Lahore,Brown,Local,1600,03/05/2024,Low,Medium,Friday,26
Honda City i-DSI 2004,1525000,Hyderabad,2004,85000,Petrol,Not Available,Sindh,White,Local,1300,03/05/2024,Low,Medium,Friday,20
Toyota Corolla 2006,1800000,Islamabad,2006,241916,Petrol,Not Available,Islamabad,Moon Light Silver,Local,1800,03/05/2024,Low,High,Friday,18
Toyota Corolla SE Limited 2001,2590000,Karachi,2001,20000,Petrol,Automatic,Karachi,Beige,Local,1500,03/05/2024,Medium,Low,Friday,23
Toyota Vitz FL 1.0 2004,2100000,Rawalpindi,2004,148551,Petrol,Automatic,Lahore,Silver,Imported,1000,03/05/2024,Low,High,Friday,20
Suzuki Alto VXR 2006,1035000,Rawalpindi,2006,250000,Petrol,Not Available,Islamabad,Solid White,Local,1000,03/05/2024,Low,High,Friday,18
Suzuki Mehran VXR 1998,515000,Lahore,1998,150000,Petrol,Not Available,Faisalabad,Snow White Pearl,Local,800,03/05/2024,Low,High,Friday,26
Honda City i-DSI Vario 2004,1800000,Rawalpindi,2004,175000,Petrol,Automatic,Lahore,Grey,Local,1300,03/05/2024,Low,High,Friday,20
Toyota Corolla XLi 2006,2050000,Islamabad,2006,596548,Petrol,Not Available,Lahore,Super White,Local,1300,03/05/2024,Low,High,Friday,18
Suzuki Mehran VX 1998,395000,Gujranwala,1998,86786,Petrol,Not Available,Sialkot,White,Local,800,03/05/2024,Low,Medium,Friday,26
Daihatsu Cuore CX Eco 2006,780000,Islamabad,2006,200000,Petrol,Not Available,Sindh,Black,Local,800,03/05/2024,Low,High,Friday,18
Toyota Surf SSR-G 3.4 1996,3300000,Swabi,1996,200000,Petrol,Automatic,Lahore,Silver,Imported,3400,03/05/2024,Medium,High,Friday,28
KIA Classic LX 2002,650000,Rawalpindi,2002,290000,Petrol,Not Available,Lahore,Black,Imported,1323,03/05/2024,Low,High,Friday,22
Suzuki Swift 2006,1800000,Rawalpindi,2006,200000,Petrol,Not Available,Islamabad,Silver,Imported,1300,03/05/2024,Low,High,Friday,18
Daihatsu Cuore CX Eco 2005,844999,Lahore,2005,130800,Petrol,Not Available,Lahore,White,Local,800,03/05/2024,Low,High,Friday,19
Toyota Cami 2001,1650000,Karachi,2001,23000,Petrol,Automatic,Karachi,Blue,Imported,1300,03/05/2024,Low,Low,Friday,23
Honda City i-DSI 2004,1575000,Multan,2004,170000,Petrol,Not Available,Sindh,Taffeta White,Imported,1300,03/05/2024,Low,High,Friday,20
Daihatsu Mira 1984,370000,Quetta,2005,10000,Petrol,Not Available,Quetta,Red,Imported,1000,03/05/2024,Low,Low,Friday,19
Toyota Surf SSR-X 3.0D 1997,4200000,Karachi,1997,146700,Diesel,Automatic,Karachi,Red,Imported,3000,03/05/2024,High,High,Friday,27
Toyota Surf SSR-X 2.7 1998,3600000,Islamabad,1998,230000,Petrol,Automatic,Peshawar,White,Imported,2700,03/05/2024,Medium,High,Friday,26
Toyota Prado TZ 3.0D 1996,4670000,Islamabad,1996,134000,Diesel,Automatic,Islamabad,Green,Imported,3000,03/05/2024,High,High,Friday,28
Suzuki Mehran VX 1997,360000,Lahore,1997,200000,Petrol,Not Available,Multan,Snow White Pearl,Local,800,03/05/2024,Low,High,Friday,27
Honda Civic VTi Prosmatec 1.6 2005,1860000,Rawalpindi,2005,129000,Petrol,Automatic,Islamabad,Grey,Local,1600,03/05/2024,Low,High,Friday,19
Suzuki Khyber GA 1998,930000,Islamabad,1998,82000,Petrol,Not Available,Lahore,White,Local,1000,03/05/2024,Low,Medium,Friday,26
Honda City i-DSI Vario 2003,1400000,Karachi,2003,145000,Petrol,Automatic,Sindh,Blue,Local,1300,03/05/2024,Low,High,Friday,21
Honda Civic VTi Oriel 1.6 2005,1490000,Lahore,2005,50000,Petrol,Not Available,Karachi,Taffeta White,Local,1600,03/05/2024,Low,Low,Friday,19
Toyota Corolla SE Saloon Automatic 2005,1850000,Peshawar,2005,150000,Petrol,Automatic,Peshawar,Burgundy,Local,1600,03/05/2024,Low,High,Friday,19
Toyota Hilux D-4D Automatic 2005,4250000,Rawalpindi,2005,300000,Diesel,Automatic,Lahore,Bronze,Imported,3000,03/05/2024,High,High,Friday,19
Toyota Platz F 1.3 2001,1700000,Peshawar,2001,266000,Petrol,Automatic,Islamabad,Silver,Local,1300,03/05/2024,Low,High,Friday,23
Toyota Surf 1993,2165000,Karachi,1993,213000,Diesel,Automatic,Karachi,Black,Imported,2400,03/05/2024,Low,High,Friday,31
Toyota Corolla XE 1999,1280000,Islamabad,1999,150000,Petrol,Not Available,Lahore,White,Local,1300,03/05/2024,Low,High,Friday,25
Suzuki Mehran VXR (CNG) 2005,600000,Karachi,2005,100000,Not Available,Not Available,Karachi,Silky Silver,Local,800,03/05/2024,Low,Medium,Friday,19
Toyota Corolla LX Limited 1.5 1994,1400000,Nowshera,1994,135000,Petrol,Automatic,Lahore,Grey,Imported,1500,03/05/2024,Low,High,Friday,30
Honda Civic EX 1994,819999,Wah cantt,1994,1,Petrol,Not Available,Sindh,White,Local,1500,03/05/2024,Low,Low,Friday,30
Honda Civic EXi Prosmatec 2004,1650000,Lahore,2004,183182,Petrol,Automatic,Punjab,White,Local,1500,03/05/2024,Low,High,Friday,20
Honda Accord CL9 2003,2900000,Rawalpindi,2003,205000,Petrol,Automatic,Lahore,Silver,Imported,2400,03/05/2024,Medium,High,Friday,21
Daihatsu Cuore 2004,675000,Lahore,2004,150000,Petrol,Not Available,Lahore,Blue,Local,660,03/05/2024,Low,High,Friday,20
Toyota Prado TZ 3.4 2004,10500000,Islamabad,2004,199441,Petrol,Automatic,Islamabad,White,Imported,3400,03/05/2024,High,High,Friday,20
Honda City i-DSI 2005,1520000,Karachi,2005,85000,Petrol,Not Available,Karachi,Silver,Local,1300,03/05/2024,Low,Medium,Friday,19
Hyundai Santro Club 2004,1070000,Rawalpindi,2004,100000,Petrol,Not Available,Lahore,White,Local,1000,03/05/2024,Low,Medium,Friday,20
Toyota Mark X 250G F Package 2005,4400000,Lahore,2005,110000,Petrol,Automatic,Islamabad,Black,Imported,2500,03/05/2024,High,High,Friday,19
Toyota Corolla GLi 1.3 2006,2600000,Sukkur,2006,79000,Petrol,Not Available,Sindh,Attitude Black,Local,1300,03/05/2024,Medium,Medium,Friday,18
Honda Civic EX 1995,860000,Haripur,1995,11,Petrol,Not Available,Islamabad,Granada Black Pearl,Local,1500,03/05/2024,Low,Low,Friday,29
Suzuki Alto VXR 2005,680000,Sialkot,2005,91000,Petrol,Not Available,Lahore,Solid White,Local,1000,03/05/2024,Low,Medium,Friday,19
Honda Civic 2002,1350000,Akora khattak,2002,300000,Petrol,Not Available,Sindh,Silver,Local,1800,03/05/2024,Low,High,Friday,22
